,tweet_id,tweet_text,tweet_user_name,tweet_user_description,tweet_user_screen_name,tweet_user_verified,tweet_user_followers_count,tweet_user_verified,tweet_user_withheld_in_countries,tweet_user_protected,tweet_url,tweet_retweet_count,tweet_favorite_count,tweet_possibly_sensitive,annotation_rohit,annotation_mohit,annotation_soyoung,human_annotation
136,1364554830937808896id,Biden REVERSED Trumps crackdown on sex offenders and trafficking! REVERSED IT! How does one justify that? Dems... l… https://t.co/wGyDeEw2hz,ᗰᗴᒪᒪIᗴ,🤍 𝕄𝕠𝕞𝕞𝕪 | 𝕎𝕠𝕣𝕜𝕖𝕣 | ℍ𝕠𝕞𝕖𝕞𝕒𝕜𝕖𝕣 | ℕ𝕠𝕥 𝕚𝕟𝕥𝕖𝕣𝕖𝕤𝕥𝕖𝕕 𝕚𝕟 𝕔𝕙𝕒𝕥𝕥𝕚𝕟𝕘 | 𝕟𝕠𝕣/𝕞𝕒𝕝,001Mellie,FALSE,20464,FALSE,[],FALSE,https://twitter.com/i/web/status/1364554830937808896,20643,58395,,0,0,0,0
133,1354862517902827521id,,,,,,,,,,,,,,0,0,0,0
110,1363533356680564742id,"Can Someone Please Explain Me What In ‼HELL‼ Were Doing Obama And Fauci In Late 2015 In Wuhan Laboratory ⁉️
🤔🤔🤔🤔
😡😡… https://t.co/XNAPu3zyX4",Sam Ghannoum,"Civil Engineer, no dating, #MAGA",Sam2323_43433,FALSE,25133,FALSE,[],FALSE,https://twitter.com/i/web/status/1363533356680564742,845,1118,FALSE,0,0,0,0
21,1354861397121744900id,@_wyatt Welcome to Birdwatch! 🎉 You can now help identify and add valuable context to misleading Tweets. We wrote a… https://t.co/EMIPJRXhfh,Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1354861397121744900,0,0,FALSE,1,1,1,1
272,1375179139607576577id,THE PRESIDENT OF THE UNITED STATES HAS DEMENTIA.,Candace Owens,New York Times best-selling author. Founder of @BLEXIT organization. Black people don’t have to be Democrats— still.,RealCandaceO,TRUE,2705323,TRUE,[],FALSE,,19839,115281,,0,1,0,0
71,1355106324657426433id,"WARNING: If you are tweeting ""buy the dip,"" and you are not a licensed financial advisor, you might be committing a felony.",BitCloutForums.com - Heidi,My name is Heidi.  You can find me on BitClout at: https://t.co/cqIIFmJHit.  I am the co-founder of https://t.co/Yk9x29FKD5.,HKrassenstein,FALSE,180704,FALSE,[],FALSE,,259,2209,,0,0,0,0
212,1370127151375155200id,"If you want to add helpful context to any Tweet that might be misleading, open the ••• menu and then hit ""Contribut… https://t.co/TupOeFjbSD",Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1370127151375155200,0,0,FALSE,1,1,1,1
14,1362115988813017093id,"If you want to add helpful context to any Tweet that might be misleading, open the ••• menu and then hit ""Contribut… https://t.co/CzUt1EzWLB",Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1362115988813017093,0,0,FALSE,1,1,1,1
129,1371973094928084992id,"Across the country, 26 states have introduced over 75 bills attacking transgender people - primarily young people.… https://t.co/lQTrWS9dMV",Alyssa Milano,🇺🇸 Check out @sorrynotsorry @PatNotPart and @NoRA4USA Please follow my other accounts for career updates @AlyssaDotCom @TouchByAM Text Me: (323)396-9923,Alyssa_Milano,TRUE,3690232,TRUE,[],FALSE,https://twitter.com/i/web/status/1371973094928084992,138,507,FALSE,1,1,1,1
279,1354608406548656130id,Republican members of Congress don’t want consequences for white supremacy or insurrection against the United State… https://t.co/OiCHqVcjpH,Alexandria Ocasio-Cortez,"US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.",AOC,TRUE,12735948,TRUE,[],FALSE,https://twitter.com/i/web/status/1354608406548656130,12541,73057,FALSE,1,1,0,1
83,1354861396685590529id,@brchastain Welcome to Birdwatch! 🎉 You can now help identify and add valuable context to misleading Tweets. We wro… https://t.co/vKcZ9YGRCK,Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1354861396685590529,0,0,FALSE,1,1,1,1
108,1357421076389588992id,"If you want to add helpful context to any Tweet that might be misleading, open the ••• menu and then hit ""Contribut… https://t.co/joErhwVAf6",Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1357421076389588992,0,0,FALSE,1,1,1,1
278,1358816627731673091id,"Republicans say we shouldn't be impeaching and convicting trump because he's not in office anymore, but we chased b… https://t.co/JfduGQ96j0",BrooklynDad_Defiant!,"Proud papa. Perpetually pissed.
#BlueWave2022, #Feminist. 
#TheResistance, #BLM

Author of The Liddle'est President.
👉Sr. Advisor, @ReallyAmerican1👈👀",mmpadellan,TRUE,919419,TRUE,[],FALSE,https://twitter.com/i/web/status/1358816627731673091,2727,11818,,1,1,0,1
40,1371879938110980109id,"President Biden’s embrace of open borders has led to a deluge of unaccompanied minors crossing the border.

The con… https://t.co/MHmY0NNSnN",Senator Ted Cruz,Representing the State of Texas in the United States Senate.,SenTedCruz,TRUE,2133712,TRUE,[],FALSE,https://twitter.com/i/web/status/1371879938110980109,532,1389,FALSE,1,0,0,0
200,1369770036982915084id,"Independent restaurant operators have won $28.6 billion worth of targeted relief.

This funding will ensure small b… https://t.co/WDPDBPf0cn",Senator Roger Wicker,Senior U.S. Senator for Mississippi. Ranking Member @SenateCommerce. Please visit my website for updates.,SenatorWicker,TRUE,102870,TRUE,[],FALSE,https://twitter.com/i/web/status/1369770036982915084,1245,5816,FALSE,1,1,1,1
97,1362427403440705539id,Statement from Director of Communications for Sen. Ted Cruz https://t.co/5cXIkTTZiW,blaire erskine,kidding rep: @sweet180mgmt @ICMPartners_,blaireerskine,TRUE,385882,TRUE,[],FALSE,,12327,69659,FALSE,1,1,0,1
245,1362116401280937988id,"If you want to add helpful context to any Tweet that might be misleading, open the ••• menu and then hit ""Contribut… https://t.co/eH5Tii4fFz",Birdwatch,"Empowering the Twitter community to create a better-informed world.

Questions? Tweet/DM us.",birdwatch,TRUE,26452,TRUE,[],FALSE,https://twitter.com/i/web/status/1362116401280937988,0,0,FALSE,1,1,1,1
100,1364032232298582021id,"To heal, we must remember. https://t.co/LVfAnRpHlW",President Biden,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/IURuMIrzxb",POTUS,TRUE,11517546,TRUE,[],FALSE,,16009,167780,FALSE,1,1,1,1
32,1374606026041856001id,How come nobody ever told me to plant Blue Java Bananas? Incredible they taste just like ice cream https://t.co/Aa3zavIU8i,Khai,Creative Human🚀 | Board Member | lnvestor | Fmr Worldwide Chief Creative Officer @ogilvy @RCA,ThamKhaiMeng,TRUE,106032,TRUE,[],FALSE,,2020,9115,FALSE,1,0,0,0
